Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg04890576,II,17,"73,032,613",F,,0.0066,0.0017,3.83,1.3E-04,3.4E-03,0,0,59.3%,++-+++++-+++++++
cg01651915,II,8,"55,795,551",F,,-0.0069,0.0018,-3.83,1.3E-04,3.4E-03,0,0,72.1%,-+--?--------+--
cg05914034,II,7,"5,528,179",F,FBXL18,-0.0053,0.0014,-3.83,1.3E-04,3.4E-03,0,0,58.1%,--+---+--+-+----
cg14626907,II,6,"33,873,691",R,,0.0043,0.0011,3.83,1.3E-04,3.5E-03,0,0,49.9%,+++++-+--++++-++
cg14295611,II,9,"136,876,366",R,,0.0028,0.0007,3.83,1.3E-04,3.5E-03,0,0,62.3%,+++++-+++++++++-
cg07113006,II,1,"45,097,282",R,RNF220,-0.0060,0.0016,-3.83,1.3E-04,3.5E-03,1,0,55.1%,---+-------+----
cg05897963,II,19,"30,157,918",F,PLEKHF1,-0.0041,0.0011,-3.83,1.3E-04,3.5E-03,0,0,73.9%,-----------+++-+
cg18302606,II,19,"39,904,402",F,PLEKHG2,-0.0043,0.0011,-3.83,1.3E-04,3.5E-03,0,0,61.6%,--+---------++--
cg17274064,II,21,"40,033,892",R,ERG,-0.0029,0.0008,-3.83,1.3E-04,3.5E-03,0,0,59.4%,---+-----+-+++--
cg03509898,II,14,"104,190,750",R,ZFYVE21,0.0019,0.0005,3.83,1.3E-04,3.5E-03,1,0,72.9%,+++-++++++++++++
cg23625823,II,4,"183,698,078",F,ODZ3,0.0029,0.0008,3.83,1.3E-04,3.5E-03,0,0,61.5%,+++++-+-++++++++
cg08356705,I,11,"68,148,006",R,LRP5,-0.0022,0.0006,-3.82,1.3E-04,3.5E-03,1,0,48.1%,-+---------?----
cg27115863,I,22,"37,921,640",R,,-0.0033,0.0009,-3.82,1.3E-04,3.5E-03,0,0,43.1%,---+-+-+--------
cg18649028,II,6,"155,428,138",F,TIAM2,0.0020,0.0005,3.82,1.3E-04,3.5E-03,1,0,66.2%,+++++++-++--++-+
cg24681208,II,14,"23,351,876",R,REM2,0.0021,0.0005,3.82,1.3E-04,3.5E-03,1,0,73.9%,+++++-+++++++--+
cg06567855,II,2,"85,977,911",R,,-0.0013,0.0003,-3.82,1.3E-04,3.6E-03,0,0,55.5%,---+----+-------
cg20722088,II,12,"89,742,886",F,DUSP6,-0.0027,0.0007,-3.82,1.3E-04,3.6E-03,1,0,60.8%,----------------
cg10172979,II,14,"88,621,579",R,,-0.0049,0.0013,-3.82,1.4E-04,3.6E-03,0,0,68.1%,-----------?---+
cg13951797,II,16,"2,204,381",R,TRAF7,-0.0041,0.0011,-3.81,1.4E-04,3.6E-03,1,0,73.0%,-+---+-------+--
cg22335826,II,6,"7,242,625",F,RREB1,-0.0025,0.0006,-3.81,1.4E-04,3.6E-03,0,0,65.5%,---+-----------+
cg02629070,II,6,"41,394,156",F,,0.0027,0.0007,3.81,1.4E-04,3.6E-03,0,0,62.5%,++-++-+++++-+-++
cg27467282,II,13,"52,116,184",R,,0.0031,0.0008,3.81,1.4E-04,3.6E-03,1,0,66.3%,+++-+-++++++-++-
cg04017131,II,8,"6,419,570",F,ANGPT2;MCPH1,-0.0100,0.0026,-3.81,1.4E-04,3.6E-03,0,0,61.2%,---------+-+-+--
cg25683662,II,1,"245,771,036",R,KIF26B,0.0048,0.0013,3.81,1.4E-04,3.7E-03,1,0,67.6%,+++++++++-+++-++
cg16541222,II,5,"111,541,635",R,EPB41L4A,0.0054,0.0014,3.81,1.4E-04,3.7E-03,0,0,39.7%,++++++++++--+--+
cg08257009,II,14,"94,812,770",F,,-0.0056,0.0015,-3.81,1.4E-04,3.7E-03,0,0,67.7%,-+-+-----+------
cg08909802,I,8,"145,049,419",F,PLEC1,-0.0026,0.0007,-3.81,1.4E-04,3.7E-03,1,0,45.9%,------+----+-+-+
cg05969150,II,16,"72,882,495",R,ZFHX3,0.0025,0.0007,3.81,1.4E-04,3.7E-03,1,0,78.2%,+++++-+-++++++++
cg23902550,II,8,"144,681,106",R,EEF1D;TIGD5,-0.0022,0.0006,-3.80,1.4E-04,3.7E-03,1,0,71.2%,--+---+-------++
cg05570258,II,7,"105,662,884",F,FLJ23834,0.0020,0.0005,3.80,0.0001,3.8E-03,0,0,79.9%,++-++++++++-++-+
cg18758335,I,1,"200,841,861",R,GPR25,0.0009,0.0002,3.80,0.0001,3.8E-03,1,0,57.3%,++--++++-++-++++
cg20533899,II,11,"76,381,105",R,LRRC32,-0.0024,0.0006,-3.80,0.0001,3.8E-03,1,0,70.3%,--------+--++--+
cg01996116,I,3,"42,846,907",R,HIGD1A,-0.0052,0.0014,-3.80,0.0001,3.8E-03,0,0,45.2%,--+---+---------
cg23904955,I,10,"101,282,759",R,,-0.0068,0.0018,-3.80,0.0001,3.8E-03,0,0,55.0%,---+-------+--++
cg26486070,II,22,"25,003,675",F,GGT1,-0.0054,0.0014,-3.79,0.0001,3.8E-03,1,0,65.3%,---------+--+---
cg02574073,I,17,"46,682,398",F,LOC404266;HOXB6,-0.0077,0.0020,-3.79,0.0001,3.9E-03,0,0,40.5%,---+-+-----+----
cg18946533,II,15,"78,384,840",F,SH2D7,0.0040,0.0011,3.79,0.0002,3.9E-03,0,0,58.9%,+++++++++++-++++
cg15843331,II,11,"61,063,144",R,VWCE,-0.0021,0.0006,-3.79,0.0002,3.9E-03,0,0,61.2%,-++---+--+----+-
cg15937073,II,1,"42,384,564",R,HIVEP3,0.0063,0.0017,3.79,0.0002,3.9E-03,1,0,78.1%,+++++-++++++++++
cg05603985,II,1,"2,161,049",F,SKI,-0.0022,0.0006,-3.79,0.0002,3.9E-03,1,0,81.6%,---------+-+----
cg06245229,I,8,"21,999,703",R,REEP4,-0.0018,0.0005,-3.79,0.0002,3.9E-03,0,0,56.9%,-------------++-
cg18419271,I,6,"32,116,016",R,,0.0052,0.0014,3.78,0.0002,4.0E-03,0,0,43.0%,++++-++++++-++-+
cg00930606,II,22,"31,740,944",R,PATZ1,-0.0026,0.0007,-3.78,0.0002,4.0E-03,1,0,74.7%,----------------
cg08529529,II,13,"31,309,799",R,ALOX5AP,-0.0022,0.0006,-3.78,0.0002,4.1E-03,0,0,66.6%,----------+---+-
cg00347798,II,3,"45,077,649",R,,0.0109,0.0029,3.78,0.0002,4.1E-03,0,0,10.2%,+++++++++++-+-++
cg26716902,I,17,"40,835,920",F,CNTNAP1,0.0077,0.0021,3.77,0.0002,4.1E-03,0,0,45.5%,++++?-+-+++?+-++
cg13905757,II,10,"15,411,709",R,FAM171A1,0.0028,0.0007,3.77,0.0002,4.1E-03,0,0,49.9%,+++++++-++++++-+
cg15059065,I,19,"17,354,961",F,NR2F6,-0.0047,0.0013,-3.77,0.0002,4.1E-03,1,0,70.3%,--------+--+----
cg22990871,II,21,"43,377,577",F,,0.0028,0.0007,3.77,0.0002,4.1E-03,0,0,68.6%,+++++-++++++++-+
cg21121843,II,4,"3,203,982",R,HTT,-0.0069,0.0018,-3.77,0.0002,4.1E-03,1,0,71.4%,---------++-----
cg03646605,II,11,"86,383,804",R,ME3,-0.0027,0.0007,-3.77,0.0002,4.1E-03,1,0,68.0%,---------+-++-+-
cg24128066,II,10,"18,689,503",F,CACNB2,-0.0030,0.0008,-3.77,0.0002,4.1E-03,0,0,59.5%,---------------+
cg18826637,II,2,"145,116,633",F,,-0.0106,0.0028,-3.77,0.0002,4.1E-03,0,0,70.3%,---+???------+--
cg03463994,II,2,"189,046,152",R,,0.0024,0.0006,3.77,0.0002,4.1E-03,0,0,52.7%,++++???++++++--+
cg22313519,II,19,"18,385,724",R,KIAA1683,-0.0024,0.0006,-3.77,0.0002,4.1E-03,1,0,77.6%,-+-+------------
cg05194346,II,15,"101,305,443",F,,0.0043,0.0012,3.77,0.0002,4.1E-03,1,0,81.1%,++-++-++++++++++
cg24911837,II,7,"65,227,864",F,CCT6P1,-0.0041,0.0011,-3.77,0.0002,4.1E-03,0,0,44.8%,-+------+--?-+--
cg10996589,II,12,"125,017,134",F,NCOR2,0.0059,0.0016,3.77,0.0002,4.1E-03,1,0,11.6%,++++++++-+++++++
cg23003085,II,11,"64,084,321",R,PRDX5;TRMT112,-0.0021,0.0006,-3.77,0.0002,4.1E-03,0,0,73.1%,-----+-----++---
cg01590439,II,8,"143,278,608",R,NCRNA00051,-0.0030,0.0008,-3.77,0.0002,4.1E-03,0,0,46.1%,-------++------+
cg16255816,II,17,"39,889,811",R,HAP1,-0.0044,0.0012,-3.77,0.0002,4.1E-03,1,0,71.2%,-+------+--+----
cg06285727,II,11,"72,524,028",F,ATG16L2,-0.0030,0.0008,-3.77,0.0002,4.1E-03,0,0,57.3%,---+------++----
cg25137968,I,1,"120,905,306",F,HIST2H2BA,-0.0040,0.0011,-3.76,0.0002,4.2E-03,0,0,32.8%,-++-------+?-+--
cg17033047,II,1,"111,214,851",R,KCNA3,0.0039,0.0010,3.76,0.0002,4.2E-03,1,0,64.3%,++-+???+++-+++++
cg12182124,II,18,"21,451,563",F,LAMA3,0.0021,0.0006,3.76,0.0002,4.2E-03,0,0,68.2%,+++++-++++++++--
cg19197419,II,20,"44,441,612",R,UBE2C,-0.0046,0.0012,-3.76,0.0002,4.2E-03,1,0,65.0%,---------+-+-+--
cg18720151,II,12,"16,763,480",R,,0.0049,0.0013,3.76,0.0002,4.3E-03,0,0,27.0%,++-++-+-+++++-+-
cg15611336,I,15,"75,248,496",R,RPP25,-0.0040,0.0011,-3.76,0.0002,4.3E-03,0,0,63.2%,--+-----------+-
cg06819923,II,16,"21,214,508",R,ZP2,-0.0033,0.0009,-3.75,0.0002,4.3E-03,0,0,66.3%,---+-----+--+---
cg02736016,II,12,"1,017,144",R,WNK1,0.0034,0.0009,3.75,0.0002,4.3E-03,0,0,68.1%,+++++-+++++++++-
cg15128226,II,4,"123,747,672",R,FGF2,-0.0038,0.0010,-3.75,0.0002,4.3E-03,0,0,58.2%,--+------+------
cg09990613,I,20,"62,688,896",F,TCEA2,-0.0029,0.0008,-3.75,0.0002,4.3E-03,1,0,57.1%,--+----------+++
cg15182635,I,10,"77,165,167",F,C10orf41,-0.0061,0.0016,-3.75,0.0002,4.3E-03,0,0,63.6%,-----------+--++
cg21916461,II,11,"68,148,079",R,LRP5,-0.0024,0.0006,-3.75,0.0002,4.3E-03,1,0,62.4%,-----------+-++-
cg19744173,II,2,"112,913,178",F,FBLN7,0.0020,0.0005,3.75,0.0002,4.3E-03,0,0,83.7%,+++-+++++++++++-
cg01513913,II,14,"106,329,158",R,,-0.0031,0.0008,-3.75,0.0002,4.3E-03,0,0,84.7%,------+-+-----+-
cg09146183,II,22,"38,610,376",F,MAFF,0.0049,0.0013,3.75,0.0002,4.3E-03,0,0,17.0%,++++++++-+-++-++
cg22579075,II,7,"94,250,352",F,SGCE,-0.0047,0.0012,-3.75,0.0002,4.4E-03,0,0,68.1%,---+-----+-+-+--
cg17861836,II,17,"79,202,505",F,C17orf56,-0.0028,0.0008,-3.75,0.0002,4.4E-03,0,0,79.9%,--+------+----+-
cg10778249,II,19,"48,674,746",F,LIG1,-0.0026,0.0007,-3.75,0.0002,4.4E-03,0,0,43.9%,-------+--+++---
cg10322443,II,14,"65,722,585",R,,0.0042,0.0011,3.75,0.0002,4.4E-03,0,0,54.4%,+++++-++++--++++
cg27664496,I,12,"113,515,835",F,DTX1,0.0035,0.0009,3.75,0.0002,4.4E-03,0,0,62.7%,+++-+-+++-+++--+
cg14016875,I,17,"14,206,981",F,HS3ST3B1;MGC12916,-0.0043,0.0011,-3.74,0.0002,4.4E-03,0,0,73.9%,--+-----+----+-+
cg24425727,II,6,"36,645,648",R,CDKN1A,-0.0055,0.0015,-3.74,0.0002,4.5E-03,1,0,32.8%,--+-----+--+----
cg18541609,II,5,"430,359",R,AHRR,0.0012,0.0003,3.74,0.0002,4.5E-03,1,0,50.4%,+++++++++++--+++
cg13081213,II,7,"26,714,757",R,SKAP2,-0.0033,0.0009,-3.74,0.0002,4.5E-03,0,0,65.6%,-------------+--
cg26518431,II,1,"47,901,555",F,MGC12982;FOXD2,0.0030,0.0008,3.74,0.0002,4.5E-03,0,0,36.2%,++++--+-+++?++++
cg16983541,II,3,"52,231,347",R,ALAS1,-0.0019,0.0005,-3.74,0.0002,4.5E-03,1,0,64.3%,---------+----++
cg09182189,II,1,"1,709,203",R,NADK,-0.0021,0.0006,-3.73,0.0002,4.5E-03,0,0,79.6%,---+----+--+-+--
cg13828047,II,15,"75,182,130",R,MPI,-0.0022,0.0006,-3.73,0.0002,4.5E-03,1,0,66.2%,--------++----+-
cg08932654,II,17,"38,084,459",F,ORMDL3,-0.0041,0.0011,-3.73,0.0002,4.5E-03,0,0,42.2%,--+-------+-----
cg22642777,II,5,"146,256,943",R,PPP2R2B,0.0014,0.0004,3.73,0.0002,4.5E-03,0,0,74.5%,++-++++++++++--+
cg03155159,II,16,"59,627,519",F,,-0.0054,0.0014,-3.73,0.0002,4.5E-03,1,0,58.9%,---+-----+---+--
cg16822666,II,17,"35,656,660",R,ACACA,-0.0026,0.0007,-3.73,0.0002,4.5E-03,1,0,73.2%,-----------+--+-
cg02402368,II,8,"6,420,726",R,ANGPT2;MCPH1,-0.0047,0.0013,-3.73,0.0002,4.6E-03,0,0,75.3%,---------+-+-+--
cg00082939,II,10,"77,165,293",F,C10orf41,-0.0060,0.0016,-3.73,0.0002,4.6E-03,0,0,59.9%,-+---------+--++
cg16358867,II,17,"72,306,008",F,DNAI2,0.0024,0.0006,3.73,0.0002,4.6E-03,0,0,48.1%,+++++-+++++-++++
cg17732372,II,15,"33,604,133",R,RYR3,0.0025,0.0007,3.73,0.0002,4.6E-03,0,0,62.5%,++-+++-+++-++-++
cg20853702,II,11,"65,655,426",R,FIBP,-0.0019,0.0005,-3.73,0.0002,4.6E-03,0,0,51.0%,---+-------?-+-+
cg20140054,II,11,"62,445,776",F,UBXN1,-0.0034,0.0009,-3.73,0.0002,4.6E-03,0,0,51.5%,---+---+------+-
cg23924887,II,1,"154,298,956",F,ATP8B2,-0.0009,0.0003,-3.73,0.0002,4.6E-03,1,0,59.0%,---+--+-+-------
cg21708058,II,8,"38,585,602",F,TACC1,-0.0036,0.0010,-3.73,0.0002,4.6E-03,0,0,55.5%,---+-+-----?++--
cg21935536,I,15,"90,338,183",R,ANPEP,-0.0018,0.0005,-3.73,0.0002,4.6E-03,1,0,63.4%,---+-+----------
cg01324550,II,17,"46,676,099",F,LOC404266;HOXB6,-0.0055,0.0015,-3.72,0.0002,4.6E-03,0,0,66.3%,---+-------+---+
cg15122985,II,20,"62,688,329",R,TCEA2,-0.0028,0.0007,-3.72,0.0002,4.6E-03,1,0,59.2%,--+------+-+---+
cg00230183,II,16,"88,882,565",R,GALNS,0.0027,0.0007,3.72,0.0002,4.6E-03,0,0,69.5%,++-++-++++-?+--+
cg17467525,II,1,"9,686,523",R,,-0.0029,0.0008,-3.72,0.0002,4.7E-03,0,0,59.6%,-----+-----+-+++
cg02153814,I,3,"194,014,525",F,,-0.0061,0.0016,-3.72,0.0002,4.7E-03,0,0,50.7%,---------------+
cg06795233,II,2,"219,737,392",R,WNT6,0.0053,0.0014,3.72,0.0002,4.7E-03,0,0,55.1%,+++++-+++++++-++
cg03631656,I,8,"6,420,770",R,ANGPT2;MCPH1,-0.0040,0.0011,-3.72,0.0002,4.7E-03,0,0,64.4%,-?------?----+--
cg24324354,II,12,"58,004,248",R,GEFT,0.0025,0.0007,3.72,0.0002,4.7E-03,0,0,62.3%,+++++++-+++++--+
cg13561409,II,19,"3,677,220",R,PIP5K1C,0.0036,0.0010,3.72,0.0002,4.7E-03,1,0,68.3%,+++++-+++++-++++
cg13855261,II,17,"14,206,572",F,HS3ST3B1;MGC12916,-0.0029,0.0008,-3.72,0.0002,4.7E-03,0,0,65.0%,-----------+++--
cg09445967,II,11,"60,634,850",R,ZP1,0.0017,0.0005,3.71,0.0002,4.8E-03,0,0,67.1%,+++++++-+++++-++
cg16744741,II,4,"82,126,025",R,PRKG2,0.0031,0.0008,3.71,0.0002,4.8E-03,0,0,75.4%,+++++-++++++++++
cg00485194,II,3,"21,792,684",F,ZNF385D,-0.0048,0.0013,-3.71,0.0002,4.8E-03,1,0,46.9%,-----+------+---
cg07413467,II,7,"92,238,086",R,CDK6,0.0037,0.0010,3.71,0.0002,4.8E-03,1,0,70.6%,+++++---++++++++
cg13379236,II,4,"110,833,808",R,EGF,0.0027,0.0007,3.71,0.0002,4.8E-03,0,0,68.3%,++-++-+++++-+++-
cg16872613,II,10,"131,260,015",F,,0.0029,0.0008,3.71,0.0002,4.8E-03,0,0,46.8%,++++++-+-+-+++++
cg00609473,II,14,"23,351,842",R,REM2,0.0021,0.0006,3.71,0.0002,4.8E-03,1,0,71.0%,+++++-+-++++--++
cg21429551,II,7,"30,635,762",F,GARS,-0.0068,0.0018,-3.71,0.0002,4.8E-03,0,0,52.9%,-+---------+----
cg07094298,I,4,"2,748,026",F,TNIP2,-0.0080,0.0022,-3.71,0.0002,4.8E-03,1,0,67.4%,---+---------+--
cg06762457,II,6,"149,806,635",F,ZC3H12D,-0.0058,0.0016,-3.71,0.0002,4.8E-03,1,0,69.7%,-+---+--------+-
cg20644981,II,4,"152,020,400",R,RPS3A,0.0033,0.0009,3.71,0.0002,4.8E-03,0,0,64.3%,++-++++++++--+++
cg24709951,I,17,"73,033,009",R,,0.0075,0.0020,3.71,0.0002,4.8E-03,0,0,50.8%,++-++++++++-++-+
cg12911122,I,6,"41,516,486",R,FOXP4,-0.0013,0.0004,-3.71,0.0002,4.8E-03,1,0,58.0%,------+----+----
cg21158502,I,5,"74,348,187",R,,-0.0027,0.0007,-3.71,0.0002,4.8E-03,0,0,55.5%,--+---+----+----
cg04972979,II,20,"749,148",R,C20orf54,-0.0042,0.0011,-3.70,0.0002,4.9E-03,0,0,42.1%,-+-+-+------+---
cg21205855,I,8,"61,563,866",R,,-0.0062,0.0017,-3.70,0.0002,4.9E-03,0,0,16.0%,---+???-----+---
cg14119236,II,12,"4,489,075",F,FGF23,0.0048,0.0013,3.70,0.0002,4.9E-03,1,0,59.3%,+++++-+--+-+++++
cg16794579,II,16,"17,562,419",F,XYLT1,-0.0047,0.0013,-3.70,0.0002,4.9E-03,1,0,68.3%,--+-----+--+----
cg05404236,I,13,"110,437,093",R,IRS2,-0.0062,0.0017,-3.70,0.0002,4.9E-03,0,0,65.7%,--+---------+--+
cg05799411,II,1,"52,820,497",F,CC2D1B,0.0012,0.0003,3.70,0.0002,4.9E-03,0,0,55.0%,+++-++-++++-++++
cg22628926,II,17,"4,844,700",F,SLC25A11;RNF167,-0.0027,0.0007,-3.70,0.0002,4.9E-03,1,0,63.3%,---+----+------+
cg08704250,I,15,"31,115,839",R,,-0.0076,0.0020,-3.70,0.0002,4.9E-03,0,0,47.7%,---+----+-------
cg14381448,I,17,"42,336,559",F,SLC4A1,-0.0025,0.0007,-3.70,0.0002,4.9E-03,0,0,65.1%,-++-----+-------
cg10959726,I,17,"6,917,614",R,C17orf49;RNASEK,-0.0015,0.0004,-3.70,0.0002,5.0E-03,1,0,75.7%,-----+-------+-+
cg06940168,II,17,"64,370,665",R,PRKCA,-0.0052,0.0014,-3.69,0.0002,5.0E-03,1,0,46.7%,---+-------?+-+-
cg07265588,II,4,"6,574,480",R,,-0.0025,0.0007,-3.69,0.0002,5.0E-03,0,0,70.3%,-----------++---
cg10592592,II,10,"74,034,663",R,DDIT4,-0.0040,0.0011,-3.69,0.0002,5.0E-03,1,0,73.0%,---------+-++---
cg13158272,II,14,"74,257,174",R,,-0.0055,0.0015,-3.69,0.0002,5.0E-03,0,0,73.4%,--------+-----+-
cg11735008,II,1,"42,380,309",R,HIVEP3,0.0047,0.0013,3.69,0.0002,5.0E-03,1,0,76.5%,++-++??+++++-+++
cg08877357,II,10,"113,120,532",F,,-0.0050,0.0013,-3.69,0.0002,5.1E-03,0,0,44.8%,-----+--+--+----
cg21230425,II,7,"64,533,826",R,,-0.0046,0.0012,-3.69,0.0002,5.1E-03,0,0,36.7%,---+-??-+--?-+--
cg09459982,II,6,"33,386,556",F,CUTA;SYNGAP1,-0.0028,0.0008,-3.69,0.0002,5.1E-03,1,0,60.5%,-----+-----++-+-
cg19940644,II,1,"12,112,386",F,,-0.0069,0.0019,-3.69,0.0002,5.1E-03,1,0,73.0%,---+-------+----
cg21140898,I,1,"51,442,318",F,,-0.0059,0.0016,-3.68,0.0002,5.2E-03,1,0,77.6%,---------?------
cg19583819,II,5,"139,283,051",F,NRG2,-0.0034,0.0009,-3.68,0.0002,5.2E-03,0,0,68.4%,------------+--+
cg01437439,II,1,"9,383,245",R,SPSB1,0.0016,0.0004,3.68,0.0002,5.3E-03,0,0,57.0%,+++-+++++++++++-
cg00502062,II,1,"201,578,212",R,,0.0025,0.0007,3.68,0.0002,5.3E-03,0,0,61.3%,++-++--+++++++++
cg10835770,II,10,"101,418,499",F,ENTPD7,-0.0025,0.0007,-3.68,0.0002,5.3E-03,0,0,35.0%,-----+-----+----
cg23051559,II,11,"119,015,827",R,,0.0019,0.0005,3.68,0.0002,5.3E-03,0,0,73.6%,+++++-++++++++++
cg17611674,II,10,"8,094,431",R,FLJ45983,-0.0022,0.0006,-3.68,0.0002,5.3E-03,0,0,42.7%,--+--------+----
cg20547777,II,8,"119,086,580",F,EXT1,-0.0050,0.0014,-3.67,0.0002,5.3E-03,1,0,57.4%,---+--------+-+-
cg14829814,II,12,"108,294,894",R,,0.0048,0.0013,3.67,0.0002,5.3E-03,0,0,53.8%,++-+?-++++++-+-+
cg05365735,II,2,"208,635,637",F,FZD5,-0.0047,0.0013,-3.67,0.0002,5.4E-03,0,0,40.7%,-----------+--+-
cg06484000,II,19,"46,998,383",F,PNMAL2,0.0058,0.0016,3.67,0.0002,5.4E-03,0,0,50.5%,+++++++--+++++++
cg16983588,II,11,"129,793,108",F,PRDM10,0.0056,0.0015,3.67,0.0002,5.4E-03,1,0,71.6%,+++++-+++++-++++
cg11331344,II,17,"73,629,463",R,RECQL5;LOC643008,-0.0023,0.0006,-3.67,0.0002,5.4E-03,1,0,66.4%,---+-+---+--+-+-
cg14975410,II,3,"171,180,070",F,,-0.0042,0.0011,-3.67,0.0002,5.4E-03,0,0,76.8%,--------+--+----
cg05210615,II,17,"47,512,894",R,,-0.0030,0.0008,-3.67,0.0002,5.4E-03,0,0,59.9%,---+-----+++----
cg15501231,II,6,"31,737,630",F,C6orf27,0.0029,0.0008,3.67,0.0002,5.4E-03,1,0,50.9%,+++++++++++-++++
cg06007201,II,16,"88,850,218",F,FAM38A,-0.0013,0.0004,-3.67,0.0002,5.4E-03,0,0,64.2%,-----------+++--
cg12478185,II,17,"10,602,001",F,C17orf48;SCO1,-0.0033,0.0009,-3.67,0.0002,5.4E-03,1,0,74.7%,-?------??+--+--
cg05593667,II,6,"35,490,744",F,,-0.0032,0.0009,-3.67,0.0002,5.4E-03,0,0,73.3%,--+--+---------+
cg22488891,I,13,"40,762,452",F,,-0.0022,0.0006,-3.66,0.0002,5.4E-03,1,0,80.2%,-----++---++----
cg26470501,II,19,"45,252,955",F,BCL3,-0.0031,0.0008,-3.66,0.0002,5.5E-03,1,0,74.8%,---+----+---+++-
cg09084200,II,11,"134,095,863",R,VPS26B;NCAPD3,-0.0026,0.0007,-3.66,0.0003,5.5E-03,1,0,77.4%,--------++-+-+--
cg13155490,II,2,"241,623,510",F,AQP12B,0.0052,0.0014,3.66,0.0003,5.5E-03,0,0,47.3%,++++?++-+++?+++-
cg08203715,II,11,"126,226,154",R,ST3GAL4,-0.0019,0.0005,-3.66,0.0003,5.5E-03,0,0,36.7%,------+-++-+----
cg01971407,II,11,"313,624",R,IFITM1,-0.0036,0.0010,-3.66,0.0003,5.5E-03,1,0,76.6%,---+-+-----+++--
cg17580614,II,17,"15,849,512",F,ADORA2B,-0.0049,0.0013,-3.66,0.0003,5.5E-03,0,0,70.2%,-----------+++--
cg11183935,I,17,"80,733,167",F,TBCD,0.0033,0.0009,3.66,0.0003,5.5E-03,1,0,53.8%,++++++-+++-+++-+
cg07285983,II,1,"174,844,490",F,RABGAP1L,0.0032,0.0009,3.65,0.0003,5.6E-03,0,0,63.4%,+++++-++-++++-++
cg20249566,II,19,"16,830,739",R,NWD1,-0.0065,0.0018,-3.65,0.0003,5.6E-03,0,0,62.9%,---+-----++-----
cg12490835,II,10,"22,623,821",F,,-0.0040,0.0011,-3.65,0.0003,5.6E-03,0,0,60.0%,-+---------+----
cg02484127,I,3,"128,723,005",F,CCDC48,-0.0044,0.0012,-3.65,0.0003,5.6E-03,1,0,26.9%,-----------++---
cg00510160,I,12,"5,311,273",F,,-0.0032,0.0009,-3.65,0.0003,5.6E-03,0,0,47.3%,-+------------+-
cg08787968,I,11,"32,451,777",R,WT1,0.0053,0.0015,3.65,0.0003,5.6E-03,0,0,42.0%,+-+-+-++++++-+-+
cg23198793,I,15,"42,694,406",R,CAPN3,0.0028,0.0008,3.65,0.0003,5.6E-03,1,0,83.8%,+++++-++++-+++--
cg07903677,II,1,"111,218,079",R,KCNA3,-0.0036,0.0010,-3.65,0.0003,5.7E-03,1,0,50.1%,--+-----+------+
cg15013801,I,10,"73,976,790",F,ASCC1;C10orf104,-0.0021,0.0006,-3.64,0.0003,5.8E-03,1,0,78.1%,---------------+
cg08884752,II,1,"2,162,001",R,SKI,-0.0036,0.0010,-3.64,0.0003,5.8E-03,1,0,78.9%,---------+---+--
cg23226688,II,1,"235,256,497",R,,-0.0020,0.0005,-3.64,0.0003,5.8E-03,0,0,39.2%,--+------+----++
cg09084391,I,5,"346,247",F,AHRR,-0.0033,0.0009,-3.64,0.0003,5.8E-03,1,0,71.4%,--+-------------
cg04514998,II,11,"108,680,123",F,DDX10,0.0039,0.0011,3.64,0.0003,5.8E-03,0,0,63.2%,++-++--++-+?+-++
cg18642234,II,3,"49,394,622",R,GPX1,-0.0031,0.0009,-3.64,0.0003,5.8E-03,1,0,81.3%,------------+--+
cg19406182,I,22,"37,721,149",F,,-0.0020,0.0005,-3.64,0.0003,5.8E-03,0,0,51.9%,-----------+----
cg18437480,II,17,"76,130,305",F,TMC8,0.0017,0.0005,3.64,0.0003,5.8E-03,0,0,38.0%,++--++++-+++++-+
cg26140790,II,10,"126,301,281",R,LHPP,0.0021,0.0006,3.64,0.0003,5.8E-03,1,0,75.0%,++-+++++++-++++-
cg07207669,II,1,"155,102,388",R,EFNA1,0.0030,0.0008,3.64,0.0003,5.9E-03,0,0,34.2%,+++-+++++++--+++
cg25292882,II,15,"39,431,467",F,,-0.0035,0.0010,-3.63,0.0003,5.9E-03,0,0,74.0%,---+-------+-+--
cg02405476,II,20,"44,441,818",F,UBE2C,-0.0031,0.0008,-3.63,0.0003,5.9E-03,1,0,62.8%,-----------+++--
cg03935116,II,12,"31,476,565",R,FAM60A;FLJ13224,-0.0021,0.0006,-3.63,0.0003,6.0E-03,0,0,78.4%,-----+-----+++--
cg24049493,II,1,"42,385,941",F,HIVEP3,0.0056,0.0015,3.63,0.0003,6.0E-03,1,0,87.9%,++-+++++++++++++
cg10255761,II,3,"49,210,029",R,KLHDC8B,-0.0031,0.0009,-3.63,0.0003,6.0E-03,0,0,78.4%,-----------+-++-
cg20408276,II,2,"38,300,586",R,CYP1B1,0.0068,0.0019,3.63,0.0003,6.0E-03,1,0,37.4%,+++++-++++++++-+
cg02222791,II,14,"88,621,424",F,,-0.0091,0.0025,-3.63,0.0003,6.1E-03,0,0,57.2%,---+???--------+
