Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg12891342,II,11,"58,344,244",R,LPXN,-0.0065,0.0015,-4.39,1.1E-05,0.0009,0,0,-----+-+-+-++---
cg26946905,II,16,"89,441,595",F,ANKRD11,-0.0021,0.0005,-4.39,1.1E-05,0.0009,1,0,-----+-+-+-----+
cg15380744,II,4,"15,964,812",F,FGFBP2,-0.0095,0.0022,-4.39,1.1E-05,0.0009,0,0,---------+---+--
cg01449715,II,13,"51,491,406",F,RNASEH2B,0.0047,0.0011,4.39,1.1E-05,0.0009,0,0,+++++++++++-++++
cg05174446,II,17,"6,943,341",R,SLC16A13,0.0030,0.0007,4.39,1.1E-05,0.0009,0,0,++-++-+++++++-+-
cg06547541,II,8,"962,834",F,,-0.0084,0.0019,-4.39,1.1E-05,0.0009,0,0,---------+-?----
cg19566648,II,6,"167,047,877",R,RPS6KA2,0.0063,0.0014,4.39,1.1E-05,0.0009,1,0,++++++++-++-+-++
cg26688911,I,20,"39,969,536",F,LPIN3,-0.0045,0.0010,-4.39,1.1E-05,0.0009,0,0,-----+--------+-
cg05399785,I,1,"3,564,031",F,WDR8,0.0066,0.0015,4.39,1.1E-05,0.0009,0,0,+++++++++-+-+-++
cg16141752,II,5,"133,802,474",R,,0.0050,0.0011,4.39,1.1E-05,0.0009,0,0,++++++++++++++++
cg06636203,I,6,"31,867,788",R,ZBTB12,0.0069,0.0016,4.39,1.1E-05,0.0009,0,0,+++++++++-+?++-+
cg09788778,I,6,"31,867,822",R,ZBTB12,0.0120,0.0027,4.39,1.1E-05,0.0009,0,0,++++++++++-?++++
cg17571335,II,11,"128,559,701",R,,-0.0138,0.0031,-4.39,1.1E-05,0.0009,0,0,-------------+--
cg17397004,II,22,"38,863,644",R,KDELR3,-0.0050,0.0011,-4.39,1.1E-05,0.0009,0,0,---+-----+-----+
cg04202267,II,2,"169,431,900",F,LASS6,0.0104,0.0024,4.39,1.1E-05,0.0009,0,0,++-+++++++++++++
cg04502706,II,6,"33,872,837",R,,0.0121,0.0028,4.39,1.1E-05,0.0009,0,0,-+-++-++-+++++++
cg12696750,II,1,"38,022,466",R,DNALI1,0.0034,0.0008,4.39,1.1E-05,0.0009,0,0,++--++-++++?+-+-
cg01777643,I,1,"224,805,287",F,CNIH3,0.0030,0.0007,4.39,1.1E-05,0.0009,0,0,+++-+++++-+-+-++
cg06853836,II,6,"169,399,712",F,,0.0046,0.0010,4.39,1.1E-05,0.0009,0,0,++++++++++++-+-+
cg23149454,II,11,"72,380,070",R,PDE2A,-0.0054,0.0012,-4.39,1.1E-05,0.0009,0,0,---------+---+--
cg05044291,II,1,"202,172,867",F,LGR6,0.0096,0.0022,4.39,1.1E-05,0.0009,0,0,+++++-++++-++--+
cg20384132,II,5,"36,302,349",R,RANBP3L,0.0091,0.0021,4.39,1.1E-05,0.0009,0,0,++-+?-++++-+++++
cg15743533,II,20,"815,345",F,FAM110A,-0.0042,0.0009,-4.39,1.1E-05,0.0009,0,0,----------------
cg19806398,II,3,"39,323,420",R,CX3CR1,0.0057,0.0013,4.39,1.1E-05,0.0009,1,0,+++++++++++-++++
cg14529474,II,1,"82,269,526",R,LPHN2,-0.0033,0.0008,-4.39,1.1E-05,0.0009,0,0,---------+---+-+
cg17641566,I,10,"73,565,966",R,CDH23,-0.0066,0.0015,-4.39,1.1E-05,0.0009,0,0,----------+-----
cg27655512,I,11,"2,287,421",F,,0.0073,0.0017,4.39,1.1E-05,0.0009,0,0,++-++++++-++++++
cg20210482,I,11,"126,286,493",F,,0.0076,0.0017,4.39,1.1E-05,0.0009,0,0,+++++++-+++-++++
cg20617917,I,17,"7,287,100",F,TNK1,-0.0060,0.0014,-4.39,1.1E-05,0.0009,0,0,--+--------+-+--
cg05539265,II,2,"102,717,438",F,,-0.0061,0.0014,-4.39,1.1E-05,0.0009,0,0,---+-+-+--------
cg25563456,II,11,"32,456,069",R,WT1;WIT1,0.0019,0.0004,4.39,1.1E-05,0.0009,0,0,++-++++++++++-++
cg17033047,II,1,"111,214,851",R,KCNA3,0.0110,0.0025,4.39,1.1E-05,0.0009,1,0,++++???++++-++-+
cg11880010,II,9,"79,328,644",F,PRUNE2,-0.0061,0.0014,-4.39,1.1E-05,0.0009,0,0,---+-------+-+--
cg20960181,II,1,"86,094,825",R,,-0.0083,0.0019,-4.39,1.1E-05,0.0009,0,0,----------------
cg11419403,I,5,"1,335,846",F,CLPTM1L,0.0037,0.0008,4.39,1.2E-05,0.0009,0,0,++++++++++++++-+
cg17814814,II,1,"222,060,676",R,,0.0075,0.0017,4.39,1.2E-05,0.0009,0,0,++-++++++-+++-++
cg03420068,II,3,"112,941,804",F,BOC,0.0048,0.0011,4.39,1.2E-05,0.0009,1,0,++-+?++++++?+-++
cg10453550,II,4,"121,763,322",F,PRDM5,0.0121,0.0027,4.39,1.2E-05,0.0009,0,0,++++?++++++?++-+
cg18061319,II,10,"71,891,928",R,AIFM2,-0.0048,0.0011,-4.39,1.2E-05,0.0009,0,0,-----+-------+--
cg13868654,II,17,"3,626,437",F,ITGAE;GSG2,-0.0030,0.0007,-4.39,1.2E-05,0.0009,0,0,---+-+-----?-+--
cg24247537,I,11,"457,278",F,PTDSS2,0.0088,0.0020,4.39,1.2E-05,0.0009,0,0,+++-+++++++-++++
cg07266580,II,11,"103,777,970",F,PDGFD,0.0046,0.0011,4.39,1.2E-05,0.0009,0,0,++++-++-++++++-+
cg26693601,II,4,"10,119,697",R,WDR1,-0.0049,0.0011,-4.39,1.2E-05,0.0009,0,0,--+-?----+--+---
cg17323243,II,5,"141,488,153",R,NDFIP1,-0.0015,0.0003,-4.39,1.2E-05,0.0009,0,0,---------+------
cg00657202,II,10,"131,309,164",R,MGMT,0.0040,0.0009,4.39,1.2E-05,0.0009,0,0,+--++++++++?--+-
cg19295068,I,19,"48,206,119",R,GLTSCR1,0.0090,0.0020,4.39,1.2E-05,0.0009,1,0,++++?++++-+?++++
cg24670715,II,8,"6,420,506",R,ANGPT2;MCPH1,-0.0060,0.0014,-4.39,1.2E-05,0.0009,0,0,-----------?-+--
cg02586730,II,11,"65,639,869",R,EFEMP2,-0.0069,0.0016,-4.39,1.2E-05,0.0009,0,0,------------++--
cg13276570,I,5,"10,567,643",R,ANKRD33B,-0.0041,0.0009,-4.39,1.2E-05,0.0009,0,0,-----+------+---
cg11326429,I,17,"79,827,632",F,ARHGDIA,-0.0102,0.0023,-4.38,1.2E-05,0.0009,1,0,---+--------+---
cg16287740,II,7,"128,595,046",R,TNPO3,0.0047,0.0011,4.38,1.2E-05,0.0009,0,0,++-+++-+++++++-+
cg17202706,I,3,"195,453,369",F,MUC20,0.0021,0.0005,4.38,1.2E-05,0.0009,0,0,++++++++?++?++++
cg01810111,II,6,"27,637,395",F,,0.0055,0.0013,4.38,1.2E-05,0.0009,0,0,+++++---++++++++
cg27205928,I,7,"1,062,652",F,C7orf50;MIR339,-0.0040,0.0009,-4.38,1.2E-05,0.0010,1,1,-----++---------
cg26272443,I,19,"41,083,341",R,SHKBP1,-0.0072,0.0016,-4.38,1.2E-05,0.0010,0,0,-----------+----
cg23878564,I,17,"7,287,449",F,TNK1,0.0117,0.0027,4.38,1.2E-05,0.0010,0,0,+++++++++++++--+
cg25046651,II,8,"67,345,006",F,ADHFE1,0.0031,0.0007,4.38,1.2E-05,0.0010,1,0,+++++--++++-++++
cg01570068,II,8,"1,937,676",R,KBTBD11,0.0070,0.0016,4.38,1.2E-05,0.0010,0,0,++++?++++-+?++-+
cg15743985,II,19,"35,819,809",R,CD22,0.0049,0.0011,4.38,1.2E-05,0.0010,0,0,+++++++++++++-+-
cg05634915,II,16,"17,477,485",F,XYLT1,-0.0042,0.0009,-4.38,1.2E-05,0.0010,1,0,---+---+-+-?----
cg01165817,II,13,"101,086,489",F,PCCA,-0.0035,0.0008,-4.38,1.2E-05,0.0010,0,0,---------+---+--
cg05314679,II,8,"101,821,998",F,,0.0028,0.0006,4.38,1.2E-05,0.0010,0,0,+++++++++++-+-++
cg11068337,II,17,"43,224,582",F,HEXIM1,-0.0041,0.0009,-4.38,1.2E-05,0.0010,0,0,---+-+-------+--
cg08480068,I,16,"29,674,959",F,SPN,0.0018,0.0004,4.38,1.2E-05,0.0010,1,0,+++++++++++---++
cg06112654,II,10,"35,505,599",F,,0.0045,0.0010,4.38,1.2E-05,0.0010,1,0,+++++-+++++-++++
cg18047662,II,10,"129,534,217",F,FOXI2,-0.0059,0.0013,-4.38,1.2E-05,0.0010,0,0,---+------------
cg09576074,II,16,"84,341,327",F,WFDC1,-0.0022,0.0005,-4.38,1.2E-05,0.0010,0,0,---------+--++--
cg15989091,II,2,"74,780,172",F,LOXL3,-0.0051,0.0012,-4.38,1.2E-05,0.0010,1,0,-----+----------
cg06998507,II,16,"84,273,740",F,KCNG4,0.0029,0.0007,4.38,1.2E-05,0.0010,0,0,+++++++++++-+--+
cg25572367,II,12,"25,538,380",F,,0.0016,0.0004,4.38,1.2E-05,0.0010,0,0,+++++++-++++++++
cg07124372,II,15,"66,996,570",F,SMAD6,-0.0030,0.0007,-4.38,1.2E-05,0.0010,1,0,-+-------+----+-
cg06940168,II,17,"64,370,665",R,PRKCA,-0.0098,0.0022,-4.38,1.2E-05,0.0010,1,0,----------+?--+-
cg07571344,II,20,"1,472,071",R,SIRPB2,0.0038,0.0009,4.38,1.2E-05,0.0010,0,0,++-++++++++-++++
cg10950251,II,1,"204,466,432",F,,-0.0062,0.0014,-4.38,1.2E-05,0.0010,0,0,---+---+---+-+--
cg18149394,II,2,"242,446,735",R,STK25,-0.0073,0.0017,-4.38,1.2E-05,0.0010,0,1,--+--+-------+--
cg09160955,II,15,"89,154,092",R,MIR7-2,-0.0077,0.0018,-4.38,1.2E-05,0.0010,0,0,---+-----+-+----
cg15913671,II,17,"79,304,420",F,TMEM105,-0.0037,0.0009,-4.38,1.2E-05,0.0010,0,0,---------+-+----
cg19377421,II,1,"156,697,041",F,ISG20L2;C1orf66,-0.0036,0.0008,-4.38,1.2E-05,0.0010,0,0,---+-+-+++-?----
cg07741805,II,5,"35,940,037",F,CAPSL,0.0061,0.0014,4.38,1.2E-05,0.0010,0,0,+++++-+++++-++-+
cg07368661,I,17,"73,506,203",F,CASKIN2,-0.0041,0.0009,-4.38,1.2E-05,0.0010,0,0,---+------------
cg11421073,II,3,"69,154,156",F,ARL6IP5,0.0057,0.0013,4.38,1.2E-05,0.0010,0,0,++-++??--+++++++
cg17038235,II,5,"172,370,524",F,ERGIC1,0.0097,0.0022,4.38,1.2E-05,0.0010,1,0,+++++-+++++-++-+
cg06148264,II,6,"2,841,468",R,SERPINB1,0.0041,0.0009,4.38,1.2E-05,0.0010,0,0,+++++++++++-++++
cg21118939,II,2,"177,682,959",R,,-0.0036,0.0008,-4.38,1.2E-05,0.0010,0,0,-------+-+-?-+--
cg02058108,II,12,"26,348,117",F,SSPN,0.0059,0.0014,4.38,1.2E-05,0.0010,0,0,+++-+++-+++++--+
cg18404811,II,17,"403,288",R,,0.0075,0.0017,4.38,1.2E-05,0.0010,0,0,+++++++++++-++++
cg22372849,II,7,"1,501,248",R,,-0.0063,0.0014,-4.38,1.2E-05,0.0010,0,0,----------------
cg03184011,II,20,"39,945,503",R,,-0.0056,0.0013,-4.38,1.2E-05,0.0010,0,0,-----+-----+----
cg00701514,I,16,"1,183,462",F,,-0.0035,0.0008,-4.38,1.2E-05,0.0010,0,0,-----+-----+----
cg12917475,II,14,"23,775,787",R,BCL2L2,0.0039,0.0009,4.38,1.2E-05,0.0010,0,0,++++++++++++++++
cg04772644,II,6,"33,165,428",F,RXRB,-0.0072,0.0017,-4.38,1.2E-05,0.0010,1,0,---+-------+-+--
cg00479463,I,19,"33,726,786",R,,-0.0064,0.0015,-4.38,1.2E-05,0.0010,0,0,---+---+-+-+----
cg07833467,I,22,"50,986,511",F,KLHDC7B,-0.0078,0.0018,-4.38,1.2E-05,0.0010,1,0,-----+----------
cg08475953,I,5,"178,004,091",F,COL23A1,0.0037,0.0008,4.38,1.2E-05,0.0010,1,0,+++-++-++++-+-++
cg11731671,I,1,"2,995,604",R,PRDM16,-0.0088,0.0020,-4.38,1.2E-05,0.0010,1,0,---+-------+----
cg19841423,II,20,"62,366,755",R,ZGPAT;LIME1,0.0081,0.0018,4.38,1.2E-05,0.0010,0,0,++++++++++++++++
cg10736337,II,19,"1,439,980",F,RPS15,-0.0042,0.0010,-4.38,1.2E-05,0.0010,0,0,-----++---------
cg01702009,II,6,"42,883,762",R,PTCRA,0.0045,0.0010,4.38,1.2E-05,0.0010,1,0,++++++++++-++-++
cg23904955,I,10,"101,282,759",R,,-0.0150,0.0034,-4.37,1.2E-05,0.0010,0,0,-----------+-+--
cg02272278,II,6,"158,448,578",R,SYNJ2,0.0057,0.0013,4.37,1.2E-05,0.0010,1,0,+++-+-+-+++?++-+
cg08038291,II,1,"234,915,028",F,,0.0035,0.0008,4.37,1.2E-05,0.0010,0,0,++-+++--+++-++-+
cg09155044,II,16,"31,106,785",F,VKORC1,0.0067,0.0015,4.37,1.2E-05,0.0010,1,0,+++++++++++-++++
cg06892898,II,7,"37,024,713",R,ELMO1,0.0042,0.0010,4.37,1.2E-05,0.0010,1,0,+++++++++-++++++
cg02529547,II,17,"48,259,089",R,,0.0032,0.0007,4.37,1.2E-05,0.0010,0,0,++++++++++++++-+
cg00466334,II,1,"119,532,850",F,TBX15,0.0048,0.0011,4.37,1.2E-05,0.0010,0,0,+++-+++-+++-++++
cg26057969,II,3,"127,310,291",F,TPRA1,-0.0055,0.0013,-4.37,1.2E-05,0.0010,0,0,-----+-----+----
cg03737080,II,1,"154,956,500",R,FLAD1,-0.0059,0.0014,-4.37,1.2E-05,0.0010,0,0,---+-+-----+----
cg22388316,II,2,"2,000,192",R,MYT1L,0.0032,0.0007,4.37,1.2E-05,0.0010,0,0,++-++-++++++++-+
cg23749760,II,7,"149,471,044",F,ZNF467,0.0030,0.0007,4.37,1.2E-05,0.0010,0,0,++-++-++-++++-++
cg25536787,II,17,"26,221,167",R,C17orf108,0.0028,0.0006,4.37,1.2E-05,0.0010,0,0,++-+++++++++++-+
cg10753610,II,17,"45,335,202",R,ITGB3,0.0032,0.0007,4.37,1.2E-05,0.0010,0,0,+++++++++-+--+-+
cg01115380,II,6,"1,552,904",R,,0.0074,0.0017,4.37,1.2E-05,0.0010,0,0,++-+++++++++++-+
cg21445230,II,16,"67,969,367",F,PSMB10,-0.0054,0.0012,-4.37,1.2E-05,0.0010,1,0,---+-----+------
cg19831386,I,14,"105,235,891",R,AKT1,-0.0025,0.0006,-4.37,1.2E-05,0.0010,1,0,-----+------+---
cg00686915,II,7,"99,076,604",R,ZNF789,0.0053,0.0012,4.37,1.2E-05,0.0010,0,0,+++-+++++++++-++
cg17983064,II,5,"131,396,357",F,IL3,0.0107,0.0024,4.37,1.2E-05,0.0010,1,0,+++++++-+++++--+
cg15624624,II,10,"114,819,357",F,TCF7L2,-0.0086,0.0020,-4.37,1.2E-05,0.0010,1,0,---+------------
cg25535418,II,6,"144,386,474",R,PLAGL1,-0.0033,0.0008,-4.37,1.2E-05,0.0010,0,0,---+-+++-+------
cg12899423,II,11,"44,328,154",R,ALX4,-0.0049,0.0011,-4.37,1.2E-05,0.0010,0,0,--+--------+----
cg06009448,II,7,"1,102,226",R,C7orf50,-0.0059,0.0013,-4.37,1.2E-05,0.0010,1,0,---+-+---+-+----
cg22628926,II,17,"4,844,700",F,SLC25A11;RNF167,-0.0072,0.0017,-4.37,1.2E-05,0.0010,1,0,-----------+----
cg27392804,II,13,"107,001,662",R,,0.0025,0.0006,4.37,1.2E-05,0.0010,0,0,++--+++++++++-++
cg20752695,II,11,"2,240,999",R,,-0.0045,0.0010,-4.37,1.2E-05,0.0010,0,0,-----+---+------
cg01669861,II,8,"141,024,218",F,TRAPPC9,0.0024,0.0006,4.37,1.2E-05,0.0010,0,0,+++++-++++++++++
cg24581845,II,1,"168,513,242",F,XCL2,0.0066,0.0015,4.37,1.2E-05,0.0010,0,0,++++++++++-?++-+
cg09390241,I,4,"8,174,148",R,,-0.0080,0.0018,-4.37,1.2E-05,0.0010,0,0,----------------
cg27424995,I,1,"27,902,555",R,AHDC1,0.0068,0.0016,4.37,1.2E-05,0.0010,1,0,++++++++++++++++
cg17566560,II,20,"35,094,679",R,DLGAP4,-0.0051,0.0012,-4.37,1.2E-05,0.0010,1,0,-------+---+----
cg08376310,I,11,"2,858,621",F,KCNQ1,0.0051,0.0012,4.37,1.2E-05,0.0010,1,0,+++++++++-+?++-+
cg11673687,II,1,"27,426,555",F,SLC9A1,-0.0041,0.0009,-4.37,1.2E-05,0.0010,0,0,-----------+-+--
cg02268192,II,14,"92,981,666",R,RIN3,0.0071,0.0016,4.37,1.2E-05,0.0010,1,0,+++++++++-++--++
cg00638210,II,3,"126,732,518",R,PLXNA1,0.0077,0.0018,4.37,1.2E-05,0.0010,1,0,+++++++-+++-++-+
cg14559075,II,4,"47,487,081",R,ATP10D,0.0043,0.0010,4.37,1.2E-05,0.0010,0,0,++++?-+++++-?---
cg09360654,II,1,"45,806,501",F,MUTYH;TOE1,-0.0047,0.0011,-4.37,1.2E-05,0.0010,0,0,---+------------
cg22321327,II,11,"47,639,458",R,MTCH2,-0.0084,0.0019,-4.37,1.2E-05,0.0010,0,0,---+-??-----+-+-
cg06399164,II,3,"42,695,035",R,ZBTB47,-0.0049,0.0011,-4.37,1.2E-05,0.0010,0,0,--+--+-------++-
cg17855595,II,1,"249,148,077",F,ZNF692,0.0058,0.0013,4.37,1.2E-05,0.0010,0,0,+++++++++++++-++
cg03315344,II,16,"75,512,273",F,CHST6,0.0040,0.0009,4.37,1.2E-05,0.0010,0,0,++-+++--+++?++++
cg24392646,II,7,"1,451,332",F,,-0.0061,0.0014,-4.37,1.2E-05,0.0010,0,0,-----------+----
cg04220636,I,16,"89,034,088",F,CBFA2T3,0.0044,0.0010,4.37,1.2E-05,0.0010,1,0,+++++++++-+++--+
cg16902087,II,1,"2,220,497",R,SKI,-0.0071,0.0016,-4.37,1.3E-05,0.0010,1,0,---+----------+-
cg04920032,II,12,"50,262,986",F,FAIM2,0.0034,0.0008,4.37,1.3E-05,0.0010,0,0,++++++++-++-++++
cg13448906,II,2,"217,557,710",R,IGFBP5,-0.0017,0.0004,-4.37,1.3E-05,0.0010,0,0,-----------+++--
cg08788930,II,8,"142,201,685",R,DENND3,0.0044,0.0010,4.37,1.3E-05,0.0010,0,0,++++++-++++++-+-
cg08621473,II,13,"23,734,512",F,,0.0026,0.0006,4.37,1.3E-05,0.0010,0,0,++--+-+++++++-++
cg06974428,II,10,"22,972,299",R,PIP4K2A,-0.0095,0.0022,-4.37,1.3E-05,0.0010,1,0,-----------+----
cg15976709,II,19,"12,913,119",F,PRDX2,-0.0024,0.0006,-4.37,1.3E-05,0.0010,0,0,---+-+---+-----+
cg23551720,II,17,"46,633,726",F,HOXB3,-0.0062,0.0014,-4.37,1.3E-05,0.0010,0,0,------------++--
cg13291570,II,8,"514,736",F,,-0.0090,0.0021,-4.37,1.3E-05,0.0010,0,0,---+-----+------
cg01605984,II,9,"136,216,154",F,SNORD24;SNORD36B;MED22;RPL7A;SNORD36A,-0.0066,0.0015,-4.37,1.3E-05,0.0010,0,1,---+-----+------
cg03499581,II,15,"78,384,868",R,SH2D7,0.0070,0.0016,4.37,1.3E-05,0.0010,0,0,+++-+++++++-++-+
cg18390683,II,2,"175,018,992",R,OLA1,-0.0043,0.0010,-4.37,1.3E-05,0.0010,0,0,-------------+--
cg26655542,II,11,"45,710,892",R,,-0.0070,0.0016,-4.37,1.3E-05,0.0010,0,0,---------+---+--
cg12065799,II,1,"39,324,622",R,RRAGC,-0.0026,0.0006,-4.37,1.3E-05,0.0010,0,0,---+-+-----+-+--
cg25577489,II,11,"113,950,061",F,ZBTB16,0.0050,0.0011,4.37,1.3E-05,0.0010,1,0,++-+++-++++++--+
cg03173827,I,20,"62,688,717",F,TCEA2,-0.0068,0.0015,-4.37,1.3E-05,0.0010,1,0,--+--------+----
cg05442717,II,17,"38,511,950",R,RARA,0.0025,0.0006,4.36,1.3E-05,0.0010,1,0,++++++++++--++++
cg26415789,II,17,"75,475,973",R,SEPT9,-0.0064,0.0015,-4.36,1.3E-05,0.0010,1,0,--+----+---+----
cg16352928,II,12,"6,881,590",R,LAG3,0.0035,0.0008,4.36,1.3E-05,0.0010,0,0,++++++++++-+++++
cg24100636,I,12,"3,600,087",R,PRMT8,0.0046,0.0011,4.36,1.3E-05,0.0010,1,0,+++++++++++-+-++
cg19202384,II,17,"79,894,511",R,PYCR1,-0.0068,0.0016,-4.36,1.3E-05,0.0010,1,0,-----+-------+--
cg07428959,II,4,"129,783,057",R,PHF17,0.0072,0.0017,4.36,1.3E-05,0.0010,0,0,+++++++++++++--+
cg16410171,II,14,"21,511,112",R,RNASE7,-0.0062,0.0014,-4.36,1.3E-05,0.0010,0,0,---+-+---+------
cg16839921,II,11,"74,178,883",F,KCNE3,-0.0048,0.0011,-4.36,1.3E-05,0.0010,0,0,----------------
cg20740299,II,5,"179,048,527",R,HNRNPH1,-0.0028,0.0006,-4.36,1.3E-05,0.0010,0,0,---+-----+------
cg05298510,II,16,"84,776,329",R,USP10,0.0073,0.0017,4.36,1.3E-05,0.0010,0,0,+++++??++++?+--+
cg01148088,II,2,"7,057,227",R,RNF144A,0.0076,0.0017,4.36,1.3E-05,0.0010,0,0,++++?--++++?+--+
cg22845912,II,8,"134,059,874",R,SLA;TG,-0.0062,0.0014,-4.36,1.3E-05,0.0010,1,0,---------+-+----
cg19917989,II,6,"14,925,093",F,,0.0066,0.0015,4.36,1.3E-05,0.0010,0,0,++-+++++++++++++
cg07931844,II,15,"72,102,213",R,NR2E3,-0.0041,0.0009,-4.36,1.3E-05,0.0010,0,0,---+-----+------
cg20772037,II,6,"34,067,242",F,GRM4,-0.0039,0.0009,-4.36,1.3E-05,0.0010,0,0,---+-+-+--------
cg17710804,I,1,"36,771,844",R,C1orf113,-0.0070,0.0016,-4.36,1.3E-05,0.0010,1,0,------------+---
cg00666746,II,19,"15,217,781",F,SYDE1,0.0030,0.0007,4.36,1.3E-05,0.0010,1,0,+++++++++++-+-++
cg20543544,II,10,"81,003,657",R,ZMIZ1,0.0148,0.0034,4.36,1.3E-05,0.0010,1,0,+++++++-+++-++-+
cg05894462,II,7,"157,461,125",F,PTPRN2,0.0025,0.0006,4.36,1.3E-05,0.0010,1,0,+++-++++++++++++
cg27425314,I,1,"26,797,619",R,DHDDS;HMGN2,0.0032,0.0007,4.36,1.3E-05,0.0010,0,0,++-+++--+-+++--+
cg25460807,I,8,"21,908,022",R,,-0.0143,0.0033,-4.36,1.3E-05,0.0010,0,0,-----+-----+---+
cg04037732,I,X,"70,364,775",R,NLGN3,0.0095,0.0022,4.36,1.3E-05,0.0010,0,0,+++++??-??++-+++
cg01267908,II,21,"46,686,908",R,POFUT2,0.0036,0.0008,4.36,1.3E-05,0.0010,0,0,+++++++-+++--+++
cg14914822,I,18,"55,713,183",F,NEDD4L,0.0029,0.0007,4.36,1.3E-05,0.0010,0,0,+++++-+++-+-++++
cg01592682,II,9,"137,691,217",R,COL5A1,0.0050,0.0011,4.36,1.3E-05,0.0010,0,0,++-+++++++++-++-
cg25677261,I,15,"102,009,856",R,PCSK6,-0.0109,0.0025,-4.36,1.3E-05,0.0010,0,0,--++-------?----
cg26402169,I,7,"1,883,139",R,MAD1L1,-0.0145,0.0033,-4.36,1.3E-05,0.0010,1,1,-------+---++---
cg09678939,II,6,"149,806,081",F,ZC3H12D,-0.0113,0.0026,-4.36,1.3E-05,0.0010,1,0,---------------+
cg07471156,I,8,"145,625,605",R,CPSF1;MIR1234,0.0075,0.0017,4.36,1.3E-05,0.0010,0,0,+++++++++-+++--+
cg24502904,I,12,"53,399,544",R,EIF4B,-0.0103,0.0024,-4.36,1.3E-05,0.0010,1,0,---+---------++-
cg11511175,II,12,"58,119,979",R,AGAP2;LOC100130776,-0.0110,0.0025,-4.36,1.3E-05,0.0010,0,0,-----+---+------
cg19509778,II,10,"129,537,308",R,FOXI2,-0.0199,0.0046,-4.36,1.3E-05,0.0010,0,0,---------+-+----
cg10459017,II,6,"36,737,623",R,CPNE5,0.0054,0.0012,4.36,1.3E-05,0.0010,0,0,+++++++++++?++--
cg09451188,II,13,"45,989,144",F,SLC25A30,-0.0055,0.0013,-4.36,1.3E-05,0.0010,0,0,---+-??+----++--
cg20000342,II,17,"56,031,856",F,,0.0040,0.0009,4.36,1.3E-05,0.0010,0,0,+++++++++++++-++
cg16886828,I,19,"5,032,663",F,KDM4B,0.0055,0.0013,4.36,1.3E-05,0.0010,0,0,+++++-+++++++-++
cg06186450,II,1,"154,942,910",R,SHC1,-0.0061,0.0014,-4.36,1.3E-05,0.0010,0,0,--+-------------
cg22452236,II,20,"24,449,760",R,TMEM90B,0.0030,0.0007,4.36,1.3E-05,0.0010,0,0,++-+++--+++++--+
cg11148381,II,2,"2,000,815",R,MYT1L,0.0040,0.0009,4.36,1.3E-05,0.0010,0,0,++-++-+++++?++-+
cg03471150,II,1,"201,797,198",R,IPO9,0.0041,0.0009,4.36,1.3E-05,0.0010,0,0,++-+++++-++-+--+
cg16925459,II,7,"18,548,581",R,HDAC9,-0.0109,0.0025,-4.36,1.3E-05,0.0010,0,0,----?----+-+----
cg00246969,II,13,"99,159,656",F,STK24,-0.0067,0.0015,-4.36,1.3E-05,0.0010,1,0,-----------+++--
cg03358592,II,9,"707,410",F,KANK1,0.0047,0.0011,4.36,1.3E-05,0.0010,0,0,+++++++++++++-++
cg03290748,II,15,"68,370,885",R,PIAS1,0.0047,0.0011,4.36,1.3E-05,0.0010,0,0,+++++??+++-++--+
cg16306706,II,1,"42,643,274",R,FOXJ3,-0.0091,0.0021,-4.36,1.3E-05,0.0010,0,0,---+-----+-+-+--
cg08802607,II,3,"10,380,471",R,ATP2B2,0.0071,0.0016,4.36,1.3E-05,0.0010,0,0,++-++++-+++-++-+
cg22575603,II,10,"43,332,329",R,,0.0037,0.0009,4.36,1.3E-05,0.0010,0,0,+++-+++-+++-+-++
cg12063580,II,14,"105,783,627",F,PACS2,0.0035,0.0008,4.36,1.3E-05,0.0010,1,0,+++++---+-++++++
cg01157004,II,3,"177,256,538",R,,-0.0093,0.0021,-4.36,1.3E-05,0.0010,0,0,-----+-----+----
cg08667128,I,17,"29,886,885",R,MIR193A,-0.0083,0.0019,-4.36,1.3E-05,0.0010,0,1,---+----------+-
cg18362538,II,19,"5,032,862",F,KDM4B,0.0032,0.0007,4.36,1.3E-05,0.0010,0,0,+++-+++++++++-+-
cg23348010,II,17,"18,908,324",F,SLC5A10;FAM83G,-0.0077,0.0018,-4.36,1.3E-05,0.0010,0,0,---------+-+-+--
cg24483576,II,17,"37,792,770",R,STARD3;PPP1R1B,-0.0040,0.0009,-4.36,1.3E-05,0.0010,0,0,-------------+-+
cg04597545,II,19,"800,229",F,PTBP1,-0.0075,0.0017,-4.36,1.3E-05,0.0010,0,0,---+-------+-+--
cg15410236,I,19,"948,452",F,ARID3A,-0.0036,0.0008,-4.36,1.3E-05,0.0011,0,0,-----++----+----
cg17521665,II,6,"106,546,704",F,PRDM1,-0.0085,0.0020,-4.36,1.3E-05,0.0011,0,0,---+----++---++-
cg12741572,II,18,"57,565,356",R,,-0.0041,0.0009,-4.36,1.3E-05,0.0011,0,0,-----+------+--+
cg01188914,II,22,"22,306,263",R,PPM1F,-0.0053,0.0012,-4.36,1.3E-05,0.0011,0,0,---------+---+--
